state,employ_est2,employ_w2,povcat11_1_est2,povcat11_1_w2,povcat11_2_est2,povcat11_2_w2,povcat11_3_est2,povcat11_3_w2,povcat11_4_est2,povcat11_4_w2,povcat11_5_est2,povcat11_5_w2,povcat11_6_est2,povcat11_6_w2,povcat11_7_est2,povcat11_7_w2,povcat11_8_est2,povcat11_8_w2,povcat11_9_est2,povcat11_9_w2,povcat11_10_est2,povcat11_10_w2,povcat11_11_est2,povcat11_11_w2,povcat11_kids_1_est2,povcat11_kids_1_w2,povcat11_kids_2_est2,povcat11_kids_2_w2,povcat11_kids_3_est2,povcat11_kids_3_w2,povcat11_kids_4_est2,povcat11_kids_4_w2,povcat11_kids_5_est2,povcat11_kids_5_w2,povcat11_kids_6_est2,povcat11_kids_6_w2,povcat11_kids_7_est2,povcat11_kids_7_w2,povcat11_kids_8_est2,povcat11_kids_8_w2,povcat11_kids_9_est2,povcat11_kids_9_w2,povcat11_kids_10_est2,povcat11_kids_10_w2,povcat11_kids_11_est2,povcat11_kids_11_w2,povcat11_adults_1_est2,povcat11_adults_1_w2,povcat11_adults_2_est2,povcat11_adults_2_w2,povcat11_adults_3_est2,povcat11_adults_3_w2,povcat11_adults_4_est2,povcat11_adults_4_w2,povcat11_adults_5_est2,povcat11_adults_5_w2,povcat11_adults_6_est2,povcat11_adults_6_w2,povcat11_adults_7_est2,povcat11_adults_7_w2,povcat11_adults_8_est2,povcat11_adults_8_w2,povcat11_adults_9_est2,povcat11_adults_9_w2,povcat11_adults_10_est2,povcat11_adults_10_w2,povcat11_adults_11_est2,povcat11_adults_11_w2,elig_est2,elig_w2,elig_all_adult_est2,elig_all_adult_w2,elig_all_child_est2,elig_all_child_w2
state_Alabama,0.678275889,2161767,0.096727173,403861,0.077723801,324517,0.086026999,359185,0.093105122,388738,0.088484092,369444,0.088908975,371218,0.072296353,301856,0.067146733,280355,0.057621575,240585,0.043922545,183388,0.228036632,952112,0.108282817,129737,0.100224433,120082,0.114295515,136941,0.108134252,129559,0.101179253,121226,0.096142242,115191,0.068733719,82352,0.060530944,72524,0.048069034,57593,0.037568513,45012,0.156839277,187914,0.092076659,274124,0.068668529,204435,0.074650469,222244,0.08705672,259179,0.083374984,248218,0.085997982,256027,0.073730118,219504,0.069809226,207831,0.06146595,182992,0.046479695,138376,0.256689669,764198,0.224398295,936921,0.054091057,161036,0.647579438,775885
state_Alaska,0.728666507,344762,0.075499616,47658,0.050882793,32119,0.059749539,37716,0.074023145,46726,0.070894358,44751,0.065267293,41199,0.073052033,46113,0.059190317,37363,0.061590374,38878,0.064814213,40913,0.345036318,217799,0.03746275,6864,0.058802982,10774,0.083668992,15330,0.102127474,18712,0.095916429,17574,0.076906703,14091,0.084121994,15413,0.05949613,10901,0.061319056,11235,0.069445809,12724,0.270731681,49604,0.091055393,40794,0.047643707,21345,0.0499673,22386,0.062529436,28014,0.060661186,27177,0.060507173,27108,0.068524797,30700,0.05906525,26462,0.061701335,27643,0.062920049,28189,0.375424374,168195,0.217556061,137329,0.186574943,83588,0.293310847,53741
state_Arizona,0.715679287,3301513,0.077891922,466913,0.055854243,334811,0.074531269,446768,0.081527333,488705,0.086281461,517203,0.08034122,481595,0.079275053,475204,0.065082736,390130,0.060894306,365023,0.051274279,307357,0.287046178,1720661,0.081017876,136566,0.07644332,128855,0.109218048,184101,0.103506824,174474,0.100716172,169770,0.087124205,146859,0.078494781,132313,0.060933966,102712,0.055698529,93887,0.044700847,75349,0.202145432,340742,0.076669014,330347,0.047799567,205956,0.060961413,262667,0.072928711,314231,0.08063444,347433,0.077687641,334736,0.079580304,342891,0.066705781,287418,0.062926952,271136,0.053845879,232008,0.320260299,1379919,0.249664936,1496584,0.179748521,774490,0.428382775,722094
state_Arkansas,0.683535032,1303651,0.094174897,237205,0.0756619,190575,0.098689003,248575,0.10403685,262045,0.094382935,237729,0.085069663,214271,0.077629923,195532,0.068652926,172921,0.053114793,133784,0.047505708,119656,0.2010814,506478,0.105087042,78198,0.093007098,69209,0.132978823,98953,0.122301868,91008,0.104249818,77575,0.084742369,63059,0.072632861,54048,0.064131612,47722,0.046219323,34393,0.034698425,25820,0.139950761,104141,0.089599328,159007,0.068388889,121366,0.084310947,149622,0.096378149,171037,0.090245655,160154,0.085206901,151212,0.079725241,141484,0.070548758,125199,0.056006131,99391,0.052875927,93836,0.226714075,402337,0.313832421,790472,0.24094509,427592,0.487659348,362880
state_California,0.711290614,17972542,0.070152861,2290285,0.053988804,1762576,0.068262338,2228565,0.076986829,2513394,0.076552609,2499218,0.074500235,2432214,0.067029364,2188312,0.059017618,1926752,0.052816233,1724295,0.046748061,1526187,0.353945048,11555267,0.070755022,634152,0.077870334,697924,0.097168436,870886,0.096180781,862034,0.094117773,843544,0.079449778,712080,0.066245191,593732,0.055130278,494113,0.046742797,418939,0.041435545,371372,0.274904066,2463867,0.069924991,1656133,0.044951572,1064652,0.057323713,1357679,0.069723466,1651360,0.069905611,1655674,0.072627232,1720134,0.06732611,1594580,0.060488662,1432639,0.055114539,1305356,0.04875842,1154815,0.383855684,9091400,0.251877037,8223046,0.172400365,4083203,0.461899799,4139843
state_Colorado,0.774870697,3002937,0.0633191,312339,0.038523331,190027,0.049252379,242951,0.055802644,275262,0.059875198,295351,0.069025419,340487,0.0670604,330794,0.07133568,351883,0.062772146,309641,0.053802148,265394,0.409231555,2018648,0.063905915,82160,0.052093121,66973,0.07453564,95826,0.07478221,96143,0.072729535,93504,0.078289412,100652,0.073095112,93974,0.074099281,95265,0.062911079,80881,0.052720824,67780,0.320837871,412482,0.063112244,230179,0.03373989,123054,0.040339861,147125,0.049112221,179119,0.055343959,201847,0.0657598,239835,0.064933124,236820,0.070361492,256618,0.062723172,228760,0.054183322,197614,0.440390915,1606166,0.194394557,958905,0.135950473,495830,0.360190255,463075
state_Connecticut,0.754861841,1736534,0.074894574,219229,0.042766934,125186,0.053652541,157050,0.06083081,178062,0.062652024,183393,0.062626402,183318,0.057662901,168789,0.050690975,148381,0.06503214,190360,0.046193454,135216,0.422997245,1238184,0.08042657,62121,0.059917607,46280,0.071939968,55566,0.081213733,62729,0.078882021,60928,0.069711831,53845,0.06539797,50513,0.046821959,36165,0.06146345,47474,0.044573106,34428,0.339651784,262345,0.072911591,157108,0.036619154,78906,0.047097283,101484,0.053524407,115333,0.056834267,122465,0.06008658,129473,0.054890211,118276,0.052077851,112216,0.066311363,142886,0.046774279,100788,0.452873016,975839,0.249045494,728998,0.168587982,363269,0.473500571,365729
state_Delaware,0.752597913,471331,0.073321555,59428,0.052666709,42687,0.050854275,41218,0.07535237,61074,0.067141511,54419,0.088967221,72109,0.063925025,51812,0.067063782,54356,0.064354383,52160,0.064522179,52296,0.331830991,268953,0.075840202,17078,0.077261262,17398,0.066225842,14913,0.100784248,22695,0.074565689,16791,0.104123739,23447,0.064098693,14434,0.061278776,13799,0.06184276,13926,0.056500462,12723,0.257478329,57980,0.072352595,42350,0.043204836,25289,0.044940614,26305,0.065568365,38379,0.064285324,37628,0.083136293,48662,0.063858213,37378,0.069289356,40557,0.065320641,38234,0.067608247,39573,0.360435516,210973,0.211647699,171543,0.164837493,96484,0.333322971,75059
state_District of Columbia,0.774248376,367617,0.127859305,75348,0.043651494,25724,0.029519569,17396,0.03399943,20036,0.030788863,18144,0.059332704,34965,0.035416356,20871,0.028890013,17025,0.032368693,19075,0.037607075,22162,0.540566499,318558,0.158888569,21541,0.053816025,7296,0.035648691,4833,0.04881503,6618,0.039506391,5356,0.091183348,12362,0.02685638,3641,0.020003983,2712,0.025314775,3432,0.018064069,2449,0.481902739,65333,0.118587886,53807,0.040614373,18428,0.027688212,12563,0.029572588,13418,0.0281841,12788,0.04981586,22603,0.037974042,17230,0.031545123,14313,0.034476375,15643,0.043446447,19713,0.558094995,253225,0.282087004,166235,0.232681919,105575,0.447434224,60660
state_Florida,0.722242794,10005865,0.071138949,1258887,0.056499567,999826,0.076796387,1359002,0.087576064,1549761,0.085894683,1520007,0.085414805,1511515,0.079521723,1407230,0.068989501,1220850,0.060029031,1062284,0.049046994,867944,0.279092296,4938865,0.078204685,363937,0.082076702,381956,0.109485743,509508,0.109264626,508479,0.098146035,456737,0.08811068,410036,0.080024548,372406,0.064759102,301366,0.049731963,231435,0.040057185,186412,0.20013873,931375,0.068617853,894950,0.047373499,617870,0.065132638,849494,0.079837461,1041282,0.081523331,1063270,0.084452902,1101479,0.079342311,1034824,0.070498931,919484,0.063703084,830849,0.05225461,681532,0.307263379,4007490,0.132658472,2347547,0.033564209,437762,0.410384587,1909785
state_Georgia,0.714560305,5086699,0.084506813,788522,0.064611988,602886,0.077632319,724377,0.082349886,768396,0.083308639,777342,0.083182392,776164,0.071513275,667281,0.064405041,600955,0.056549824,527659,0.050785302,473871,0.281154521,2623416,0.094909695,255275,0.090478655,243357,0.106414486,286219,0.101975267,274279,0.096737062,260190,0.089054312,239526,0.068250211,183570,0.059723118,160635,0.04964713,133534,0.042672648,114775,0.200137415,538302,0.080293688,533247,0.054136093,359529,0.065975658,438158,0.074401686,494117,0.077870182,517152,0.080804288,536638,0.072834802,483711,0.066301201,440320,0.059345387,394125,0.054070894,359096,0.313966121,2085114,0.173098025,1615155,0.043156914,286614,0.493943477,1328541
state_Hawaii,0.742045415,646047,0.066466186,75214,0.045009204,50933,0.05555963,62872,0.058043695,65683,0.084041983,95103,0.07861875,88966,0.074932861,84795,0.066539533,75297,0.069300194,78421,0.054752817,61959,0.346735147,392370,0.050638313,15664,0.058212724,18007,0.069954191,21639,0.074557674,23063,0.115565527,35748,0.093036262,28779,0.079206416,24501,0.078171926,24181,0.076406826,23635,0.050279474,15553,0.253970666,78561,0.072420411,59550,0.040042224,32926,0.050144598,41233,0.051831367,42620,0.072183266,59355,0.073195084,60187,0.07332521,60294,0.062163589,51116,0.066626778,54786,0.056435627,46406,0.381631849,313809,0.250426603,283386,0.165280281,135907,0.476767605,147479
state_Idaho,0.729743273,888334,0.063921311,103737,0.051444156,83488,0.076028138,123385,0.105887906,171844,0.086277163,140018,0.089491807,145235,0.09671659,156960,0.067582689,109679,0.06455475,104765,0.060542761,98254,0.23755273,385521,0.057841828,28597,0.063656958,31472,0.106636327,52721,0.132174353,65347,0.103895631,51366,0.103458738,51150,0.099433657,49160,0.06332322,31307,0.061464401,30388,0.05059466,25014,0.157520227,77878,0.066584787,75140,0.046093616,52016,0.062618411,70664,0.094371574,106497,0.078558352,88652,0.083372767,94085,0.095526218,107800,0.069448801,78372,0.06590866,74377,0.064901115,73240,0.272615699,307643,0.218744878,354998,0.172343299,194487,0.324658172,160511
state_Illinois,0.742733431,5929648,0.073095949,755735,0.050536588,522495,0.058100319,600696,0.073850959,763541,0.071695033,741251,0.075736741,783038,0.074230495,767465,0.065610853,678347,0.061956031,640560,0.05307882,548779,0.342108213,3537038,0.080015584,229407,0.065623682,188145,0.081007203,232250,0.093625841,268428,0.086719039,248626,0.082162406,235562,0.074778804,214393,0.062447572,179039,0.058892324,168846,0.048043114,137741,0.266684432,764592,0.070440835,526328,0.044747559,334350,0.049310779,368446,0.066263191,495113,0.065930211,492625,0.073271166,547476,0.074020104,553072,0.066824627,499308,0.063131598,471714,0.055011057,411038,0.371048872,2772446,0.262014548,2708954,0.165270193,1234885,0.514145131,1474069
state_Indiana,0.739978289,3176601,0.078219891,444253,0.056471299,320731,0.072250217,410348,0.093490318,530982,0.086138666,489228,0.088179148,500817,0.079716491,452753,0.074487018,423052,0.063660613,361563,0.054543326,309781,0.252843012,1436032,0.084843452,142022,0.074414701,124565,0.096843357,162109,0.115758723,193772,0.103156643,172677,0.096974186,162328,0.080956193,135515,0.069575789,116465,0.058872235,98548,0.044491705,74476,0.174113015,291453,0.075451929,302231,0.048972816,196166,0.061972833,248239,0.084184431,337210,0.079026915,316551,0.084503734,338489,0.079198424,317238,0.076539403,306587,0.06566166,263015,0.058743862,235305,0.285743994,1144579,0.274097726,1556749,0.185349298,742437,0.486467176,814312
state_Iowa,0.780646539,1542556,0.073043526,190555,0.053925445,140680,0.062146124,162126,0.080382952,209702,0.087056168,227111,0.090946482,237260,0.087806325,229068,0.064479009,168212,0.066604901,173758,0.060899951,158875,0.272709117,711440,0.079783068,61316,0.065879974,50631,0.077221047,59347,0.101851057,78276,0.106144946,81576,0.103943352,79884,0.090917253,69873,0.059631714,45829,0.062036292,47677,0.052445305,40306,0.200145992,153819,0.07022893,129239,0.048932946,90049,0.055850473,102779,0.071417354,131426,0.079084235,145535,0.085518676,157376,0.086507127,159195,0.066503356,122383,0.068512862,126081,0.064430815,118569,0.303013227,557621,0.321571673,838912,0.179160691,329701,0.66257446,509211
state_Kansas,0.764166596,1392323,0.071673613,173617,0.055782702,135124,0.074680638,180901,0.081048479,196326,0.087505903,211968,0.088159407,213551,0.078939351,191217,0.073766641,178687,0.064953631,157339,0.055202268,133718,0.268287367,649880,0.06204009,45089,0.070400346,51165,0.099095727,72020,0.099293864,72164,0.10591905,76979,0.09688458,70413,0.081662475,59350,0.073124721,53145,0.057579268,41847,0.054279747,39449,0.199720132,145151,0.075802863,128528,0.049517091,83959,0.064215514,108881,0.073227897,124162,0.079613413,134989,0.084419506,143138,0.077772129,131867,0.074041789,125542,0.06811453,115492,0.055597692,94269,0.297677576,504729,0.157058004,380446,0.032426531,54981,0.447822701,325465
state_Kentucky,0.696037349,1971981,0.10391867,387011,0.079400737,295702,0.083639263,311487,0.088164832,328341,0.086931538,323748,0.082078379,305674,0.076807408,286044,0.068848592,256404,0.055642704,207223,0.050050051,186395,0.224517826,836143,0.123029634,131163,0.094776425,101042,0.106294009,113321,0.109450347,116686,0.098789148,105320,0.081710219,87112,0.075938764,80959,0.063816176,68035,0.046005615,49047,0.038592677,41144,0.161596985,172280,0.09625355,255848,0.07323378,194660,0.074552785,198166,0.079627533,211655,0.082175629,218428,0.082226042,218562,0.077155809,205085,0.070867019,188369,0.059507995,158176,0.054645432,145251,0.249754426,663863,0.304793925,1135105,0.239950295,637803,0.466464498,497302
state_Louisiana,0.671088055,1906182,0.108064321,408342,0.094058953,355420,0.089150378,336872,0.091323087,345082,0.088684609,335112,0.080944898,305866,0.06701707,253237,0.065171194,246262,0.048793578,184376,0.048550108,183456,0.218241805,824669,0.123680157,139309,0.121607117,136974,0.110147244,124066,0.102040635,114935,0.096474944,108666,0.079113786,89111,0.068262952,76889,0.060181202,67786,0.042440062,47803,0.04551189,51263,0.150540011,169563,0.101432741,269033,0.082360069,218446,0.080233636,212806,0.086771664,230147,0.085376286,226446,0.081722516,216755,0.066487981,176348,0.067290295,178476,0.051491727,136573,0.049840348,132193,0.246992737,655106,0.350924949,1326038,0.261131255,692606,0.562368326,633432
state_Maine,0.755160812,651114,0.067131542,72252,0.04644352,49986,0.062811085,67602,0.070031358,75373,0.072681239,78225,0.08584516,92393,0.082399015,88684,0.076717382,82569,0.075868156,81655,0.053608046,57697,0.306463497,329839,0.073777908,19080,0.060808773,15726,0.085540613,22122,0.093900562,24284,0.08789934,22732,0.089364845,23111,0.091259561,23601,0.094244704,24373,0.064981014,16805,0.0451213,11669,0.213101379,55111,0.065029395,53172,0.041900005,34260,0.055622073,45480,0.062481884,51089,0.06786798,55493,0.084731937,69282,0.079596557,65083,0.07117375,58196,0.079311597,64850,0.056292278,46028,0.335992545,274728,0.248305498,267245,0.166943269,136503,0.50554881,130742
state_Maryland,0.762670516,2984030,0.066030622,337646,0.036391879,186089,0.052808501,270035,0.059193785,302686,0.055813697,285402,0.065926192,337112,0.067976852,347598,0.056834138,290620,0.061269673,313301,0.051869609,265234,0.425885054,2177753,0.067942038,97737,0.048174706,69301,0.076209477,109630,0.076304018,109766,0.068831832,99017,0.07517092,108136,0.074317274,106908,0.059351354,85379,0.062275857,89586,0.047147967,67824,0.344274557,495251,0.065282409,239909,0.031779558,116788,0.04364832,160405,0.052496081,192920,0.050717821,186385,0.062307395,228976,0.065494929,240690,0.055848788,205241,0.060875807,223715,0.053717869,197410,0.457831024,1682502,0.228412336,1167981,0.1433106,526658,0.445816751,641323
state_Massachusetts,0.762680674,3461517,0.077796947,444040,0.044998151,256835,0.047648966,271965,0.047850799,273117,0.048045624,274229,0.053202361,303662,0.055068794,314315,0.054254102,309665,0.051321562,292927,0.049535722,282734,0.470276972,2684190,0.080044934,114864,0.060168893,86342,0.069436527,99641,0.06222465,89292,0.057125674,81975,0.058672022,84194,0.06191106,88842,0.055923579,80250,0.049627385,71215,0.045535382,65343,0.399329893,573036,0.077041954,329176,0.039903012,170493,0.040331548,172324,0.043023298,183825,0.044996062,192254,0.051365359,219468,0.052770799,225473,0.053693404,229415,0.051890556,221712,0.050879248,217391,0.494104761,2111154,0.219096063,1250530,0.161201914,688765,0.391475504,561765
state_Michigan,0.721363446,4512005,0.081393837,659741,0.06331213,513179,0.070313391,569928,0.080233149,650333,0.082861968,671641,0.084197351,682465,0.076195664,617607,0.065661264,532220,0.06470081,524435,0.050745539,411320,0.280384897,2272671,0.094379304,211501,0.080888705,181269,0.096216903,215619,0.09974395,223523,0.098619882,221004,0.088334595,197955,0.077724001,174177,0.062216863,139426,0.058024925,130032,0.044080504,98783,0.199770367,447679,0.076431835,448240,0.056595775,331910,0.060415151,354309,0.072777689,426810,0.076840561,450637,0.08261643,484510,0.075611656,443430,0.066977437,392794,0.067251796,394403,0.05329238,312537,0.311189291,1824992,0.250408856,2029699,0.192355384,1128082,0.402333724,901617
state_Minnesota,0.798382473,2855866,0.054732499,257961,0.046157718,217547,0.051561565,243016,0.055325312,260755,0.06906949,325533,0.072117363,339898,0.070884634,334088,0.070161122,330678,0.071907523,338909,0.059188356,278962,0.378894419,1785776,0.057763319,78763,0.055181083,75242,0.071491485,97482,0.072695697,99124,0.089317053,121788,0.083139048,113364,0.078144721,106554,0.068985521,94065,0.068575561,93506,0.050480842,68833,0.30422567,414826,0.053498711,179198,0.042484482,142305,0.043448484,145534,0.048254167,161631,0.060827102,203745,0.067630649,226534,0.067929195,227534,0.070639687,236613,0.0732639,245403,0.062733015,210129,0.409290609,1370950,0.218571847,1030156,0.141554334,474147,0.407766656,556009
